FECHA (YYMMDD);Registros validados
2013-01-16;5.27599
2013-01-16;9.35999
2013-01-16;14.13
2013-01-16;18.21
2013-01-16;16.85
2013-01-16;19.57
2013-01-16;14.81
2013-01-16;10.04
2013-01-16;16.85
2013-01-16;9.35999
2013-01-16;17.53
2013-01-16;12.08
2013-01-16;17.53
2013-01-16;8.67998
2013-01-16;10.72
2013-01-16;20.25
2013-01-16;18.21
2013-01-16;16.17
2013-01-16;14.13
2013-01-16;10.04
2013-01-17;10.04
2013-01-17;7.31799
2013-01-17;5.95599
2013-01-17;7.31799
2013-01-17;7.99899
2013-01-17;10.04
2013-01-17;8.67998
2013-01-17;4.59499
2013-01-17;3.914
2013-01-17;6.63699
2013-01-17;10.04
2013-01-17;16.17
2013-01-17;12.76
2013-01-17;12.76
2013-01-17;12.08
2013-01-17;11.4
2013-01-17;5.95499
2013-01-17;5.95499
2013-01-17;12.76
2013-01-17;12.76
2013-01-17;12.76
2013-01-17;10.72
2013-01-17;7.99899
2013-01-17;7.31799
2013-01-18;9.01999
2013-01-18;10.04
2013-01-18;9.35999
2013-01-18;10.72
2013-01-18;11.4
2013-01-18;11.4
2013-01-18;18.21
2013-01-18;16.85
2013-01-18;17.53
2013-01-18;14.81
2013-01-18;16.17
2013-01-18;14.8
2013-01-18;14.8
2013-01-18;14.12
2013-01-18;16.16
2013-01-18;15.48
2013-01-18;20.93
2013-01-18;12.08
2013-01-18;15.48
2013-01-18;16.17
2013-01-18;14.13
2013-01-18;12.76
2013-01-18;12.08
2013-01-18;10.72
2013-01-19;10.04
2013-01-19;7.99899
2013-01-19;9.01999
2013-01-19;10.72
2013-01-19;9.35999
2013-01-19;9.01999
2013-01-19;9.35999
2013-01-19;9.35999
2013-01-19;12.08
2013-01-19;13.44
2013-01-19;15.49
2013-01-19;13.1
2013-01-19;13.44
2013-01-19;13.1
2013-01-19;12.08
2013-01-19;14.8
2013-01-19;12.08
2013-01-19;12.08
2013-01-19;9.35999
2013-01-19;7.31699
2013-01-19;7.99899
2013-01-19;7.31799
2013-01-19;3.914
2013-01-19;3.233
2013-01-20;3.914
2013-01-20;6.63699
2013-01-20;3.914
2013-01-20;3.914
2013-01-20;5.27599
2013-01-20;5.27599
2013-01-20;9.35999
2013-01-20;10.04
2013-01-20;8.67998
2013-01-20;6.63699
2013-01-20;5.27599
2013-01-20;8.67998
2013-01-20;10.72
2013-01-20;7.99699
2013-01-20;5.27499
2013-01-20;3.914
2013-01-20;7.99699
2013-01-20;6.63599
2013-01-20;5.95499
2013-01-20;7.31699
2013-01-20;6.63699
2013-01-20;8.67998
2013-01-20;5.616
2013-01-20;3.914
2013-01-21;5.95599
2013-01-21;5.95599
2013-01-21;7.31799
2013-01-21;9.35999
2013-01-21;7.31799
2013-01-21;8.67998
2013-01-21;9.35999
2013-01-21;9.35999
2013-01-21;10.04
2013-01-21;9.35999
2013-01-21;11.4
2013-01-21;10.72
2013-01-21;10.72
2013-01-21;12.08
2013-01-21;11.4
2013-01-21;10.04
2013-01-21;10.04
2013-01-21;8.67998
2013-01-21;7.31699
2013-01-21;8.67998
2013-01-21;9.35999
2013-01-21;7.31799
2013-01-21;5.27599
