fecha;pm2.5;pm10;humedad;puntoRocio;temperatura;dir_viento;viento;icap;calidad_aire
2013-04-13;19,5305;29,5491;56,0000;3,6250;13,8083;182,7273;4,5455;19,6994;5
2013-04-14;26,1530;36,9377;52,9167;8,1083;19,0667;205,4545;5,8182;24,6251;5
2013-04-15;20,6357;47,7833;58,7500;11,3500;20,8083;95,4545;1,4545;31,8555;5
2013-04-16;21,6275;37,9667;71,7500;10,8000;16,8167;160,0000;3,0000;25,3111;5
2013-04-17;27,0469;53,4706;55,5000;7,6250;18,7750;203,3333;3,8333;35,6471;5
2013-04-18;33,7213;77,6680;58,9167;10,5083;19,8167;180,0000;3,0909;51,7787;5
2013-04-19;27,2862;41,4420;81,3333;11,7583;15,1333;170,0000;2,9091;27,6280;5
2013-04-20;11,0623;55,3224;58,8333;8,9250;17,4333;168,1818;10,8182;36,8816;5
2013-04-21;16,1199;35,3186;58,2500;9,5667;18,4917;194,1667;3,3333;23,5457;5
2013-04-22;10,9640;36,1382;61,0833;10,8917;19,5833;216,3636;4,0909;24,0921;5
2013-04-23;17,6854;37,0008;62,8333;9,3583;17,5167;200,9091;5,0909;24,6672;5
2013-04-24;77,3654;121,0410;73,7500;8,0750;13,2250;187,2727;3,6364;80,6940;5
2013-04-25;56,4770;83,2767;69,5000;6,3417;12,7417;180,0000;2,2727;55,5178;5
2013-04-26;58,6308;75,1630;76,3333;7,6667;11,9000;117,2727;5,7273;50,1087;5
2013-04-27;71,9180;106,8130;76,9167;8,8000;12,9667;168,1818;1,9091;71,2087;5
2013-04-28;65,2744;65,9001;69,0000;7,4583;14,1167;136,0000;1,9000;43,9334;5
2013-04-29;48,6863;81,5298;59,5833;6,6417;15,7000;137,0000;1,6000;54,3532;5
2013-04-30;19,9601;52,7125;70,2500;7,6167;13,7167;139,0000;3,4000;35,1417;5
2013-05-01;25,4546;35,2605;85,7500;10,5917;12,9500;50,0000;12,3000;23,5070;5
2013-05-02;14,4657;18,7010;82,1667;11,1500;14,2417;22,0000;13,4000;12,4673;5
2013-05-03;55,7051;45,2084;91,9167;12,3250;13,6333;245,0000;6,7000;30,1389;5
2013-05-04;45,6374;51,1902;86,7500;10,8583;13,1167;212,0000;5,8000;34,1268;5
2013-05-05;21,3021;27,9213;71,4167;8,0083;13,7083;212,0000;4,7000;18,6142;5
2013-05-06;15,4449;24,2539;67,6667;8,6417;15,0333;188,0000;10,6000;16,1693;5
2013-05-07;132,7746;112,9384;57,3333;4,0083;14,3500;212,0000;4,6000;75,2923;5
2013-05-08;150,2561;147,9110;56,5000;5,5500;14,8083;157,0000;2,7000;98,6073;5
2013-05-09;75,2016;76,9435;81,0833;8,1917;11,5250;204,1000;8,7000;51,2957;5
2013-05-10;101,4012;71,6998;91,6667;11,6917;13,0250;208,0000;7,7000;47,7999;5
2013-05-11;52,7588;56,3175;82,5833;8,8167;11,9833;210,0000;5,4000;37,5450;5
2013-05-12;19,1028;25,7868;71,5833;6,2833;11,7333;193,0000;10,1000;17,1912;5
2013-05-13;50,9962;51,8118;63,4167;4,6083;11,6667;198,0000;9,1000;34,5412;5
2013-05-14;51,0319;66,3706;63,0833;2,0333;9,6250;171,0000;11,6000;44,2471;5
2013-05-15;10,7227;23,7390;62,1667;1,3333;8,4250;182,7273;12,8182;15,8260;5
2013-05-16;94,3101;79,7483;67,4167;3,7667;9,9667;240,0000;3,2000;53,1655;5
2013-05-17;288,9521;252,4560;73,6667;3,4250;8,2667;184,0000;1,5000;384,6000;2
2013-05-18;103,4179;90,2454;91,9167;8,4667;9,7417;61,0000;4,4000;60,1636;5
2013-05-19;60,7413;55,8206;75,9167;9,3000;13,7250;132,0000;2,2000;37,2137;5
2013-05-20;113,6687;114,3900;88,4167;6,9250;8,8417;144,0000;2,8000;76,2600;5
2013-05-21;157,1630;136,4265;80,0000;7,8333;11,4667;170,0000;4,2000;90,9510;5
2013-05-22;201,9276;164,3875;75,3333;6,0833;10,6917;146,0000;4,6000;139,9653;4
2013-05-23;116,4162;111,4654;80,6667;8,2917;11,7250;162,0000;4,0000;74,3103;5
2013-05-24;32,4664;39,8092;74,8333;10,9667;15,8167;205,0000;8,2000;26,5395;5
2013-05-25;52,9529;44,8924;97,0000;11,4250;11,9167;89,0000;4,7000;29,9283;5
2013-05-26;49,8675;45,1536;82,1667;8,7750;11,8833;87,0000;6,3000;30,1024;5
2013-05-27;20,5092;18,2045;96,0833;10,4333;11,0583;326,0000;16,9000;12,1363;5
2013-05-28;22,9064;19,2603;91,8333;8,6417;9,9167;167,0000;6,2000;12,8402;5
2013-05-29;56,3030;61,8230;82,0000;9,0250;12,2000;150,0000;4,7000;41,2153;5
2013-05-30;61,7275;61,9721;88,5833;8,7000;10,6000;153,0000;5,2000;41,3147;5
2013-05-31;23,6284;20,7623;87,0833;10,4417;12,5583;342,0000;7,2000;13,8415;5
2013-06-01;46,7824;34,5775;96,4167;11,1917;11,7500;86,0000;10,7000;23,0517;5
2013-06-02;85,1490;83,5199;82,6667;10,2583;13,3833;146,0000;2,2000;55,6799;5
2013-06-03;18,1841;24,9954;84,3333;10,1333;12,8667;198,0000;6,8000;16,6636;5
2013-06-04;24,4646;34,2933;82,7500;11,0750;14,1250;205,0000;7,4000;22,8622;5
2013-06-05;19,8850;30,6358;79,0833;9,9000;13,7667;194,0000;9,9000;20,4239;5
2013-06-06;36,1965;44,5203;73,0833;5,8000;11,1667;185,0000;4,1000;29,6802;5
2013-06-07;29,0204;34,3201;79,6667;9,1417;12,7583;198,0000;10,0000;22,8801;5
2013-06-08;79,1987;76,4395;92,0833;6,0500;7,3000;189,0000;2,2000;50,9597;5
2013-06-09;42,6325;44,6569;78,6667;4,0750;7,9833;207,0000;5,6000;29,7713;5
2013-06-10;63,5858;63,2477;78,5000;5,7167;9,6333;157,0000;4,6000;42,1651;5
2013-06-11;42,0312;43,8697;80,4167;6,5833;10,2000;193,0000;7,1000;29,2465;5
2013-06-12;52,9296;56,1279;79,9167;6,7667;10,6583;170,0000;5,1000;37,4186;5
2013-06-13;32,7494;39,8019;80,8333;10,6583;14,1167;206,0000;6,6000;26,5346;5
2013-06-14;43,6719;42,0616;95,3333;9,7583;10,5000;131,0000;1,6000;28,0411;5
2013-06-15;50,9883;46,6495;95,0833;9,9538;10,7308;70,9091;6,7273;31,0997;5
2013-06-16;23,6135;27,6285;73,2500;2,9917;7,9167;189,0000;10,5000;18,4190;5
2013-06-17;86,1280;75,5428;73,8333;1,7500;6,5333;197,0000;3,3000;50,3619;5
2013-06-18;57,0204;50,4947;75,4167;1,8250;6,3833;163,0000;7,0000;33,6631;5
2013-06-19;83,5554;76,5963;68,2500;0,4833;6,4250;199,0000;7,6000;51,0642;5
2013-06-20;157,9450;130,8589;87,3333;2,5083;4,5333;189,0000;1,5000;87,2393;5
2013-06-21;71,8829;64,8750;91,8333;4,4583;5,7167;87,0000;6,0000;43,2500;5
2013-06-22;28,4914;30,7391;83,7500;8,4667;11,1917;104,0000;2,9000;20,4927;5
2013-06-23;18,8073;20,6239;92,2500;5,3333;6,5083;186,0000;6,1000;13,7493;5
2013-06-24;41,7951;46,2630;95,8333;4,5333;5,1167;54,0000;0,6000;30,8420;5
2013-06-25;43,2746;35,7642;98,6667;4,9667;5,1833;245,0000;3,5000;23,8428;5
2013-06-26;36,8750;31,4114;92,8333;6,8000;7,8750;127,0000;6,0000;20,9409;5
2013-06-27;21,5571;24,0717;95,1667;9,2833;9,9750;15,0000;16,1000;16,0478;5
2013-06-28;26,7607;31,3762;91,4167;9,9417;11,3167;289,0000;3,9000;20,9175;5
2013-06-29;30,2029;32,8453;96,9167;8,8500;9,3167;216,0000;4,7000;21,8969;5
2013-06-30;85,2154;100,3178;93,5833;9,2500;10,2583;82,0000;4,2000;66,8785;5
2013-07-01;84,6154;101,8547;87,2500;6,0333;8,1833;126,0000;3,7000;67,9031;5
2013-07-02;23,8610;29,4113;89,6667;7,9750;9,5667;23,0000;12,9000;19,6075;5
2013-07-03;24,0871;25,3956;95,8333;8,0500;8,6667;74,0000;7,5000;16,9304;5
2013-07-04;49,6026;58,3237;95,6667;6,4500;7,0750;112,0000;1,6000;38,8825;5
2013-07-05;50,1936;57,5333;97,5000;6,2000;6,5333;54,0000;0,9000;38,3555;5
2013-07-06;42,4975;52,3310;87,3333;4,5250;6,6917;203,0000;6,1000;34,8873;5
2013-07-07;87,5078;101,4433;97,3333;3,7833;4,1250;95,0000;3,1000;67,6289;5
2013-07-08;47,4286;61,7729;84,4167;7,6333;10,2500;157,0000;8,2000;41,1819;5
2013-07-09;20,9505;23,9205;92,0000;10,8286;12,1643;50,8333;13,0000;15,9470;5
2013-07-10;17,7190;20,9240;95,0000;11,7000;12,4583;316,0000;6,7000;13,9493;5
2013-07-11;65,8002;90,2317;86,0833;10,6833;13,0500;249,0000;5,4000;60,1545;5
2013-07-12;43,6184;50,8447;92,3333;7,6750;8,8833;201,0000;4,4000;33,8965;5
2013-07-13;94,6757;112,6791;97,3333;9,0857;9,4857;19,1667;4,8333;75,1194;5
2013-07-14;89,0279;111,6295;93,9167;9,7667;10,7500;60,0000;0,8000;74,4197;5
2013-07-15;20,2710;30,3357;82,0000;8,4333;11,7500;205,0000;8,4000;20,2238;5
2013-07-16;22,0407;27,2818;81,2500;9,6333;12,9000;193,0000;11,4000;18,1879;5
2013-07-17;30,0312;40,3032;89,8333;7,4769;9,0462;192,7273;3,5455;26,8688;5
2013-07-18;30,2841;41,6621;88,4167;3,8583;5,6667;168,0000;5,0000;27,7747;5
2013-07-19;65,3939;81,9978;89,0000;1,0083;2,8167;116,0000;1,3000;54,6652;5
2013-07-20;90,5476;104,4152;81,4167;2,2667;5,5167;144,0000;3,5000;69,6101;5
2013-07-21;40,9234;48,8568;64,9167;-2,0083;4,7667;193,0000;7,7000;32,5712;5
2013-07-22;54,1289;74,7660;59,6667;-4,2583;3,5667;144,0000;2,5000;49,8440;5
2013-07-23;36,7441;49,0810;70,7500;2,8083;8,2167;186,0000;8,4000;32,7207;5
2013-07-24;35,4154;49,1209;70,8333;4,0250;9,7750;199,0000;4,4000;32,7473;5
2013-07-25;86,1066;104,2543;94,9167;3,3750;4,1083;58,0000;3,5000;69,5029;5
2013-07-26;47,6224;57,2296;88,4167;8,2917;10,1417;228,0000;8,9000;38,1531;5
2013-07-27;74,0433;91,6474;89,0833;8,5167;10,3417;199,0000;3,3000;61,0983;5
2013-07-28;42,8057;51,7961;96,5000;8,1500;8,6667;201,0000;2,6000;34,5307;5
2013-07-29;33,1831;41,2486;96,4167;7,3250;7,8333;89,0000;4,8000;27,4991;5
2013-07-30;27,2736;36,1433;72,8462;6,5077;11,4692;288,0000;8,7000;24,0955;5
2013-07-31;56,7892;82,4888;76,4167;7,0750;11,3000;144,0000;1,6000;54,9925;5
2013-08-01;48,9649;56,8496;93,5000;5,7250;6,7333;148,0000;2,1000;37,8997;5
2013-08-02;50,6663;73,6201;84,6667;7,0333;9,6250;45,0000;1,2000;49,0801;5
2013-08-03;22,1408;20,7708;94,0000;8,4833;9,4000;354,0000;9,6000;13,8472;5
2013-08-04;15,0513;17,2594;94,8333;8,3667;9,1917;124,0000;9,7000;11,5063;5
2013-08-05;46,8128;45,3381;76,3333;7,5333;12,0000;136,0000;2,9000;30,2254;5
2013-08-06;42,7486;58,7027;91,6154;7,2462;8,5462;121,0000;7,2000;39,1351;5
2013-08-07;59,6991;73,1491;82,3846;7,0308;10,0000;244,0000;6,0000;48,7661;5
2013-08-08;63,3999;75,0275;73,2500;1,9500;7,0000;201,0000;8,7000;50,0183;5
2013-08-09;39,3345;54,9956;69,3333;2,0417;7,7917;198,0000;7,1000;36,6637;5
2013-08-10;59,1054;71,0756;78,8333;5,3083;9,0250;40,0000;0,8000;47,3837;5
2013-08-11;20,8612;25,6887;89,7500;10,0333;11,7333;261,0000;5,5000;17,1258;5
2013-08-12;24,0241;33,0434;73,9167;4,6417;9,3833;198,0000;7,9000;22,0289;5
2013-08-13;27,4244;39,3159;69,2500;1,6667;7,4167;201,1111;8,2222;26,2106;5
2013-08-14;136,4471;188,7770;65,3333;2,7833;10,0167;217,0000;4,0000;207,7139;3
2013-08-15;97,5390;110,3305;88,0000;7,5417;9,5250;107,0000;2,4000;73,5537;5
2013-08-16;29,1615;45,2690;63,2500;3,3167;10,7500;184,0000;8,9000;30,1793;5
2013-08-17;120,8777;153,3580;71,0000;3,9250;9,8917;194,0000;2,6000;109,3278;4
2013-08-18;56,3926;70,4877;74,5000;6,4083;11,2333;215,0000;4,1000;46,9918;5
2013-08-19;27,4121;37,3115;88,2500;8,4750;10,4417;238,0000;5,9000;24,8743;5
2013-08-20;64,9164;91,9300;73,5385;4,0769;9,1077;186,3636;4,2727;61,2867;5
2013-08-21;48,4589;58,9078;85,6667;6,4417;8,8333;149,0000;5,7000;39,2719;5
2013-08-22;17,7233;28,8005;58,5833;-0,0750;7,9000;194,0000;9,3000;19,2003;5
2013-08-23;26,3171;39,8578;62,6667;-0,0917;6,9750;197,0000;7,7000;26,5719;5
2013-08-24;90,3305;121,7015;57,4167;-1,5167;7,2833;166,0000;2,3000;81,1343;5
2013-08-25;141,5935;173,5575;64,9167;-0,3500;6,9667;221,0000;2,8000;165,4375;4
2013-08-26;107,4656;155,7020;63,1667;1,7417;9,1750;72,0000;0,4000;115,8389;4
2013-08-27;58,6719;84,0546;75,6667;11,0583;15,5250;213,0000;4,4000;56,0364;5
2013-08-28;15,5506;34,3581;69,2500;10,9583;17,1667;200,0000;8,7000;22,9054;5
2013-08-29;29,8258;44,8533;91,1667;10,4833;11,9500;175,0000;2,9000;29,9022;5
2013-08-30;32,8684;52,8174;84,0000;9,7500;12,4667;154,0000;3,9000;35,2116;5
2013-08-31;40,7964;58,7238;77,8333;9,2333;13,1167;276,6000;5,7000;39,1492;5
2013-09-01;94,5780;112,2489;90,0000;10,0000;11,6500;188,0000;3,3000;74,8326;5
2013-09-02;88,6465;116,5998;81,0000;7,6083;10,9833;164,0000;1,5000;77,7332;5
2013-09-03;84,6665;125,1045;79,5000;8,7833;12,4500;103,0000;1,7000;83,4030;5
2013-09-04;54,0696;69,0136;91,6667;10,7833;12,1417;121,0000;5,7000;46,0091;5
2013-09-05;23,7269;30,7366;90,7500;12,4917;14,0000;82,0000;8,6000;20,4911;5
2013-09-06;19,9344;31,2014;78,2500;12,3250;16,3833;176,0000;6,3000;20,8009;5
2013-09-07;17,0681;26,4463;91,0000;13,7417;15,2250;150,0000;8,7000;17,6309;5
2013-09-08;20,2425;32,0010;80,5385;15,2692;18,9538;179,1667;3,0000;21,3340;5
2013-09-09;14,5022;25,8727;81,4615;14,3846;17,8692;286,6667;9,9167;17,2485;5
2013-09-10;29,3696;47,1357;85,5385;12,3615;14,8923;285,8333;4,5000;31,4238;5
2013-09-11;35,4119;47,8235;89,3846;7,7875;9,2688;178,6667;5,8000;31,8823;5
2013-09-12;19,8591;25,8811;61,9231;1,4462;9,1846;195,8333;9,2500;17,2541;5
2013-09-13;19,9641;30,3601;60,2308;1,8923;9,7923;195,0000;8,1667;20,2401;5
2013-09-14;30,8049;44,0761;59,5385;2,2000;10,4000;195,0000;2,5833;29,3841;5
2013-09-15;29,2225;40,5216;68,0769;4,2308;10,1308;183,3333;3,4167;27,0144;5
2013-09-16;52,2464;68,5849;67,4615;2,7615;9,2077;180,8333;3,2500;45,7233;5
2013-09-17;36,2793;53,7388;58,8462;1,9308;10,5385;206,6667;6,7500;35,8259;5
2013-09-18;26,7307;38,7582;53,6923;2,2538;12,4000;190,8333;4,9167;25,8388;5
2013-09-19;23,9826;31,3224;81,3846;7,3000;10,5769;215,0000;4,1667;20,8816;5
2013-09-20;27,8178;34,8010;90,2308;6,9000;8,5385;306,6667;6,0000;23,2007;5
2013-09-21;31,2112;37,4353;67,3077;3,1692;9,6615;175,8333;8,7500;24,9569;5
2013-09-22;18,5237;25,8217;51,3077;2,1231;13,5538;162,5000;8,1667;17,2145;5
2013-09-23;23,4104;42,5072;36,5385;1,3538;17,5692;182,5000;6,1667;28,3381;5
2013-09-24;26,4918;59,0034;44,5385;4,5231;18,2385;183,3333;2,2500;39,3356;5
2013-09-25;27,1554;49,8940;72,6923;7,6308;12,9385;255,0000;2,6667;33,2627;5
2013-09-26;15,3914;37,7362;56,4615;3,5308;12,6385;189,1667;9,4167;25,1575;5
2013-09-27;22,0425;43,8702;59,3077;2,1846;10,0308;191,6667;6,9167;29,2468;5
2013-09-28;32,4606;50,6607;45,2308;-0,3615;12,4308;177,5000;4,5000;33,7738;5
2013-09-29;21,2461;35,9321;44,3846;1,9462;14,9538;237,5000;5,2500;23,9547;5
2013-09-30;20,9650;41,6134;59,2308;5,7692;14,1231;281,6667;4,3333;27,7423;5
2013-10-01;22,5037;36,0202;69,7692;7,0385;12,8000;119,1667;2,3333;24,0135;5
2013-10-02;17,9104;29,9393;61,5385;4,3231;12,1692;210,8333;4,9167;19,9595;5
2013-10-03;27,6054;45,6608;57,0000;4,5769;13,9462;192,5000;4,0833;30,4405;5
2013-10-04;15,5449;32,9160;54,1538;6,8000;16,8769;206,6667;7,0000;21,9440;5
2013-10-05;13,5679;30,9006;57,0000;7,9538;17,6692;203,3333;7,8333;20,6004;5
2013-10-06;12,7624;32,5924;61,9231;10,4000;18,3308;95,0000;3,1667;21,7283;5
2013-10-07;17,7406;34,3135;75,7692;10,7846;15,3846;229,1667;3,5833;22,8757;5
2013-10-08;12,4240;23,2776;74,3846;9,7538;14,4769;210,0000;3,7500;15,5184;5
2013-10-09;12,8922;30,7327;49,5385;3,8846;15,9385;207,5000;6,5833;20,4885;5
