FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090909;0000;;;19,0861;
090910;0000;;;18,3949;
090911;0000;;;28,3654;
090912;0000;;;70,323;
090913;0000;;;31,8329;
090914;0000;;;16,493;
090915;0000;;;17,2078;
090916;0000;;;18,3298;
090917;0000;;;37,8159;
090918;0000;;;27,1294;
090919;0000;;;12,6289;
090920;0000;;;14,9608;
090921;0000;;;14,3148;
090922;0000;;;17,0005;
090923;0000;;;19,278;
090924;0000;;;18,5693;
090925;0000;;;24,5106;
090926;0000;;;21,3032;
090927;0000;;;25,137;
090928;0000;;;28,2943;
090929;0000;;;27,2903;
090930;0000;;;26,0604;
091001;0000;;;24,6017;
091002;0000;;;25,4053;
091003;0000;;;18,5529;
091004;0000;;;15,8491;
091005;0000;;;15,4608;
091006;0000;;;12,7214;
091007;0000;;;47,663;
091008;0000;;;33,6515;
091009;0000;;;27,4839;
091010;0000;;;16,4583;
091011;0000;;;20,7856;
091012;0000;;;21,2739;
091013;0000;;;13,486;
091014;0000;;;16,4075;
091015;0000;;;15,1755;
091016;0000;;;14,6369;
091017;0000;;;15,6781;
091018;0000;;;19,5396;
091019;0000;;;11,1295;
091020;0000;;;14,5712;
091021;0000;;;21,3865;
091022;0000;;;10,8802;
091023;0000;;;18,413;
091024;0000;;;18,8965;
091025;0000;;;16,3382;
091026;0000;;;10,6544;
091027;0000;;;16,2381;
091028;0000;;;17,509;
091029;0000;;;10,7743;
091030;0000;;;11,7738;
091031;0000;;;13,6755;
091101;0000;;;8,51187;
091102;0000;;;11,2429;
091103;0000;;;9,93166;
091104;0000;;;16,0477;
091105;0000;;;19,4478;
091106;0000;;;15,5931;
091107;0000;;;12,1441;
091108;0000;;;14,3327;
091109;0000;;;14,2702;
091110;0000;;;10,8376;
091111;0000;;;12,2232;
091112;0000;;;12,369;
091113;0000;;;12,4826;
091114;0000;;;9,81615;
091115;0000;;;7,09737;
091116;0000;;;9,79222;
091117;0000;;;8,52277;
091118;0000;;;7,45583;
091119;0000;;;6,72251;
091120;0000;;;10,4073;
091121;0000;;;11,1076;
091122;0000;;;8,69272;
091123;0000;;;7,69847;
091124;0000;;;5,47729;
091125;0000;;;6,71733;
091126;0000;;;9,47119;
091127;0000;;;9,04346;
091128;0000;;;11,3189;
