FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090910;0000;;;28,7405;
090911;0000;;;48,0913;
090912;0000;;;103,073;
090913;0000;;;30,2291;
090914;0000;;;30,248;
090915;0000;;;26,9118;
090916;0000;;;37,0139;
090917;0000;;;53,7644;
090918;0000;;;40,0276;
090919;0000;;;23,5189;
090920;0000;;;20,4258;
090921;0000;;;25,4746;
090922;0000;;;29,2112;
090923;0000;;;30,0082;
090924;0000;;;31,3718;
090925;0000;;;42,4536;
090926;0000;;;30,4843;
090927;0000;;;34,4127;
090928;0000;;;39,1639;
090929;0000;;;52,0258;
090930;0000;;;44,6659;
091001;0000;;;52,5597;
091002;0000;;;42,3478;
091003;0000;;;35,8737;
091004;0000;;;25,7367;
091005;0000;;;18,9931;
091006;0000;;;18,4742;
091007;0000;;;59,973;
091008;0000;;;40,3656;
091009;0000;;;44,0162;
091010;0000;;;23,589;
091011;0000;;;27,0919;
091012;0000;;;29,1431;
091013;0000;;;17,1932;
091014;0000;;;20,8172;
091015;0000;;;26,1782;
091016;0000;;;28,2535;
091017;0000;;;36,5339;
091018;0000;;;33,9224;
091019;0000;;;25,0167;
091020;0000;;;24,3738;
091021;0000;;;36,2267;
091022;0000;;;17,1286;
091023;0000;;;25,1165;
091024;0000;;;30,6584;
091025;0000;;;20,6855;
091026;0000;;;18,0882;
091027;0000;;;31,2302;
091028;0000;;;26,8147;
091029;0000;;;22,704;
091030;0000;;;29,3499;
091031;0000;;;25,2258;
091101;0000;;;18,3508;
091102;0000;;;13,5979;
091103;0000;;;19,1836;
091104;0000;;;25,8221;
091105;0000;;;38,554;
091106;0000;;;20,1213;
091107;0000;;;16,3626;
091108;0000;;;17,3357;
091109;0000;;;18,8402;
091110;0000;;;21,9947;
091111;0000;;;23,7307;
091112;0000;;;25,5849;
091113;0000;;;28,0103;
091114;0000;;;20,3644;
091115;0000;;;14,6353;
091116;0000;;;26,9227;
091117;0000;;;17,4268;
091118;0000;;;13,2431;
091119;0000;;;12,2271;
091120;0000;;;26,0292;
091121;0000;;;28,2566;
091122;0000;;;19,5071;
091123;0000;;;16,2051;
091124;0000;;;13,0345;
091125;0000;;;16,7193;
091126;0000;;;18,4136;
091127;0000;;;21,7696;
091128;0000;;;22,9019;
091129;0000;;;16,7091;
091130;0000;;;20,2701;
091201;0000;;;21,2711;
091202;0000;;;22,6541;
091203;0000;;;22,9549;
091204;0000;;;35,1166;
091205;0000;;;27,6175;
091206;0000;;;21,0939;
091207;0000;;;29,8448;
091208;0000;;;36,2256;
091209;0000;;;31,3281;
091210;0000;;;26,1632;
091211;0000;;;38,1642;
091212;0000;;;29,3471;
091213;0000;;;17,0042;
091214;0000;;;25,1611;
091215;0000;;;30,0063;
091216;0000;;;37,0068;
091217;0000;;;29,3852;
091218;0000;;;28,7381;
091219;0000;;;23,9306;
091220;0000;;;20,4438;
091221;0000;;;25,2303;
